YearWeek, Continent, Mean, Standard Deviation, min, Max
4,AFRICA,0,0,0,0
4,AMERICA,37.55,155.03,0,1058
4,ASIA,1.38,10.82,0,128
4,EUROPA,0.13,0.76,0,8
4,OCEANIA,0,0,0,0
5,AFRICA,0,0,0,0
5,AMERICA,302.38,1371.32,0,11177
5,ASIA,2.2,4.49,0,20
5,EUROPA,0.69,2.09,0,15
5,OCEANIA,0,0,0,0
6,AFRICA,0,0,0,0
6,AMERICA,1206.23,5044.67,0,29631
6,ASIA,4.6,8.75,0,40
6,EUROPA,1.47,4.17,0,29
6,OCEANIA,0,0,0,0
7,AFRICA,0.04,0.19,0,1
7,AMERICA,2438.29,10364.13,0,58182
7,ASIA,6.97,14.52,0,75
7,EUROPA,2.6,8.51,0,57
7,OCEANIA,0,0,0,0
8,AFRICA,0.08,0.28,0,1
8,AMERICA,3356.64,13928.97,0,64084
8,ASIA,14.33,41.75,0,433
8,EUROPA,3.86,14.49,0,155
8,OCEANIA,0,0,0,0
9,AFRICA,0.2,0.43,0,2
9,AMERICA,3525.96,14629.06,0,66907
9,ASIA,85.72,339.75,0,3150
9,EUROPA,26.69,142.14,0,1694
9,OCEANIA,0.43,0.49,0,1
10,AFRICA,2.74,6.58,0,49
10,AMERICA,3642.08,15040.57,0,67707
10,ASIA,370.84,1285.37,0,7041
10,EUROPA,162.93,720,0,7375
10,OCEANIA,3.14,1.55,1,5
11,AFRICA,13.5,22.91,0,110
11,AMERICA,3786.87,15092.16,0,67794
11,ASIA,730.95,2370.37,0,13938
11,EUROPA,774.54,2687.31,0,24747
11,OCEANIA,5.57,1.05,5,8
12,AFRICA,58.54,79.19,0,327
12,AMERICA,4751.24,15438.04,4,67800
12,ASIA,1199.35,3675.6,6,21638
12,EUROPA,2776.41,7826.56,5,59138
12,OCEANIA,37.29,29.97,8,102
13,AFRICA,225.64,267.94,3,1280
13,AMERICA,9274.45,24896.8,27,140909
13,ASIA,2029.62,5738.9,33,38309
13,EUROPA,7108.18,17123.79,41,97689
13,OCEANIA,296.86,142.78,102,514
14,AFRICA,483.18,443.4,18,1655
14,AMERICA,18996.16,57362.41,97,336802
14,ASIA,3451.15,9293.93,49,58226
14,EUROPA,13222.05,28418.89,127,131646
14,OCEANIA,799.71,151.49,589,1039
15,AFRICA,809.43,645.18,90,2173
15,AMERICA,32323.26,103418.89,183,555313
15,ASIA,5013.28,12104.99,123,71686
15,EUROPA,19458.9,38592.62,293,166831
15,OCEANIA,1234.29,75.75,1106,1330
16,AFRICA,1242.46,923.29,291,3158
16,AMERICA,45744.07,148428.01,330,758809
16,ASIA,6772.29,14181.02,632,82211
16,EUROPA,26093.42,48585.83,474,198674
16,OCEANIA,1394.86,27.5,1349,1431
17,AFRICA,1848.24,1297.18,377,4546
17,AMERICA,59899.47,193164.65,477,965785
17,ASIA,8936.67,16007.1,677,90481
17,EUROPA,31639.54,55946.47,721,213024
17,OCEANIA,1456,10.64,1440,1470
18,AFRICA,2601.39,1765.49,736,6783
18,AMERICA,75132.49,236498.88,661,1158040
18,ASIA,11321.75,17911.24,710,97424
18,EUROPA,36120.03,61615.17,818,217466
18,OCEANIA,1480,5.86,1472,1487
19,AFRICA,3640.46,2555.12,1018,10015
19,AMERICA,90855.91,276880.01,1043,1329260
19,ASIA,14319.29,20927.1,740,107603
19,EUROPA,40651.38,68438.38,896,224350
19,OCEANIA,1490.86,3.48,1486,1497
20,AFRICA,4385.08,3115.05,1032,10652
20,AMERICA,99178.58,296901.44,1051,1347881
20,ASIA,16396.96,23228.05,859,109286
20,EUROPA,43227.45,72884.14,946,227436
20,OCEANIA,1497,0,1497,1497
